Doc Length	Fraction Argumentive Part	Shortened Doc Length	Shortened Fraction Argumentive Part	No. of Args	Fraction of Distinguishing Arg	Fraction of Einschätzungsspielraum Arg	Fraction of Entscheidung des EGMR Arg	Fraction of Konsens der prozessualen Parteien Arg	Fraction of Overruling Arg	Fraction of Rechtsvergleichung Arg	Fraction of Sinn & Zweck Auslegung Arg	Fraction of Subsumtion Arg	Fraction of Systematische Auslegung Arg	Fraction of Verhältnismäßigkeitsprüfung – Angemessenheit Arg	Fraction of Verhältnismäßigkeitsprüfung – Geeignetheit Arg	Fraction of Verhältnismäßigkeitsprüfung – Legitimer Zweck Arg	Fraction of Verhältnismäßigkeitsprüfung – Rechtsgrundlage Arg	Fraction of Vorherige Rechtsprechung des EGMR Arg	Fraction of Wortlaut Auslegung Arg	Fraction of Beschwerdeführer Agent	Fraction of EGMR Agent	Fraction of Staat Agent	Fraction of Kommission/Kammer Agent	Fraction of Dritte Agent	Avg. Arg Length (Chars)	Importance
7621.0	0.47972706993832825	5330.0	0.6859287054409006	40.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.375	0.0	0.15	0.0	0.075	0.175	0.175	0.0	0.1	0.6	0.3	0.0	0.0	489.025	4
6315.0	0.3041963578780681	2705.0	0.7101663585951941	23.0	0.0	0.0	0.13043478260869565	0.08695652173913043	0.0	0.0	0.0	0.5217391304347826	0.0	0.2608695652173913	0.0	0.0	0.0	0.0	0.0	0.21739130434782608	0.5217391304347826	0.13043478260869565	0.13043478260869565	0.0	445.6521739130435	2
7182.0	0.3284600389863548	3566.0	0.6615255187885586	32.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.71875	0.0	0.0	0.0	0.0	0.0	0.21875	0.0	0.15625	0.6875	0.15625	0.0	0.0	393.4375	3
9730.0	0.3935251798561151	5836.0	0.656100068540096	29.0	0.0	0.0	0.06896551724137931	0.0	0.0	0.0	0.0	0.5172413793103449	0.0	0.3103448275862069	0.0	0.0	0.0	0.10344827586206896	0.0	0.20689655172413793	0.6206896551724138	0.1724137931034483	0.0	0.0	698.448275862069	1
6315.0	0.43103721298495645	4485.0	0.6069119286510591	37.0	0.0	0.0	0.10810810810810811	0.0	0.0	0.0	0.0	0.7027027027027027	0.0	0.08108108108108109	0.0	0.0	0.0	0.10810810810810811	0.0	0.2972972972972973	0.5135135135135135	0.1891891891891892	0.0	0.0	407.94594594594594	1
9987.0	0.4257534795233804	5358.0	0.7935796939156402	52.0	0.0	0.0	0.11538461538461539	0.019230769230769232	0.0	0.0	0.0	0.6538461538461539	0.0	0.0	0.0	0.0	0.0	0.21153846153846154	0.0	0.17307692307692307	0.7307692307692307	0.09615384615384616	0.0	0.0	433.3269230769231	4
2936.0	0.5279291553133515	2060.0	0.7524271844660194	28.0	0.0	0.0	0.17857142857142858	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.03571428571428571	0.03571428571428571	0.0	0.17857142857142858	0.6785714285714286	0.14285714285714285	0.0	0.0	285.14285714285717	4
16689.0	0.5082389597938762	8979.0	0.9446486245684375	42.0	0.0	0.0	0.07142857142857142	0.023809523809523808	0.0	0.0	0.0	0.42857142857142855	0.0	0.23809523809523808	0.0	0.047619047619047616	0.07142857142857142	0.07142857142857142	0.047619047619047616	0.2857142857142857	0.47619047619047616	0.23809523809523808	0.0	0.0	1075.142857142857	1
12196.0	0.26607084289931127	7313.0	0.44373034322439486	37.0	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.8378378378378378	0.0	0.0	0.0	0.0	0.0	0.13513513513513514	0.0	0.16216216216216217	0.6756756756756757	0.16216216216216217	0.0	0.0	469.7027027027027	3
11191.0	0.4151550352962202	5013.0	0.9267903451027328	53.0	0.0	0.018867924528301886	0.07547169811320754	0.018867924528301886	0.0	0.0	0.0	0.49056603773584906	0.0	0.20754716981132076	0.0	0.03773584905660377	0.018867924528301886	0.1320754716981132	0.0	0.11320754716981132	0.6415094339622641	0.24528301886792453	0.0	0.0	466.0377358490566	1
